model,criterion,requested_coverage,coverage,accepted_n,referred_n,risk,accepted_acc,accepted_f1,accepted_acc_ci_low,accepted_acc_ci_high
baseline,entropy,0.1,0.1,60,540,0.08333333333333337,0.9166666666666666,0.9565217391304348,0.8193105798166558,0.9638795433982692
baseline,free_energy,0.1,0.1,60,540,0.08333333333333337,0.9166666666666666,0.9565217391304348,0.8193105798166558,0.9638795433982692
baseline,entropy,0.15000000000000002,0.15,90,510,0.05555555555555558,0.9444444444444444,0.9714285714285714,0.8764626377820048,0.976039028383038
baseline,free_energy,0.15000000000000002,0.15,90,510,0.05555555555555558,0.9444444444444444,0.9714285714285714,0.8764626377820048,0.976039028383038
baseline,entropy,0.2,0.2,120,480,0.05833333333333335,0.9416666666666667,0.9699570815450643,0.8844740796636988,0.9714589899997798
baseline,free_energy,0.2,0.2,120,480,0.05833333333333335,0.9416666666666667,0.9699570815450643,0.8844740796636988,0.9714589899997798
baseline,entropy,0.25,0.25,150,450,0.046666666666666634,0.9533333333333334,0.9761092150170648,0.9068135276008725,0.9772134508387381
baseline,free_energy,0.25,0.25,150,450,0.046666666666666634,0.9533333333333334,0.9761092150170648,0.9068135276008725,0.9772134508387381
baseline,entropy,0.30000000000000004,0.3,180,420,0.05555555555555558,0.9444444444444444,0.9714285714285714,0.9007683865825439,0.9695467263760221
baseline,free_energy,0.30000000000000004,0.3,180,420,0.05555555555555558,0.9444444444444444,0.9714285714285714,0.9007683865825439,0.9695467263760221
baseline,entropy,0.35,0.35,210,390,0.06666666666666665,0.9333333333333333,0.9655172413793104,0.8912216570902916,0.9598761655849963
baseline,free_energy,0.35,0.35,210,390,0.06666666666666665,0.9333333333333333,0.9655172413793104,0.8912216570902916,0.9598761655849963
baseline,entropy,0.4,0.4,240,360,0.0708333333333333,0.9291666666666667,0.9632829373650108,0.8895031557540064,0.9553080629628224
baseline,free_energy,0.4,0.4,240,360,0.0708333333333333,0.9291666666666667,0.9632829373650108,0.8895031557540064,0.9553080629628224
baseline,entropy,0.45000000000000007,0.45,270,330,0.0888888888888889,0.9111111111111111,0.9534883720930233,0.8711481619755067,0.9395398943766949
baseline,free_energy,0.45000000000000007,0.45,270,330,0.08518518518518514,0.9148148148148149,0.9555125725338491,0.8754242455466341,0.9425673068087406
baseline,entropy,0.5,0.5,300,300,0.09999999999999998,0.9,0.9473684210526315,0.8608335376153785,0.9290520854049847
baseline,free_energy,0.5,0.5,300,300,0.09999999999999998,0.9,0.9473684210526315,0.8608335376153785,0.9290520854049847
baseline,entropy,0.55,0.55,330,270,0.10303030303030303,0.896969696969697,0.9456869009584664,0.8594735719747536,0.925330091792843
baseline,free_energy,0.55,0.55,330,270,0.10303030303030303,0.896969696969697,0.9456869009584664,0.8594735719747536,0.925330091792843
baseline,entropy,0.6,0.6,360,240,0.11944444444444446,0.8805555555555555,0.9364844903988183,0.8429725655387708,0.9101026911626124
baseline,free_energy,0.6,0.6,360,240,0.11944444444444446,0.8805555555555555,0.9364844903988183,0.8429725655387708,0.9101026911626124
baseline,entropy,0.65,0.65,390,210,0.14358974358974363,0.8564102564102564,0.9226519337016574,0.8181268662215616,0.8877409234022987
baseline,free_energy,0.65,0.65,390,210,0.14358974358974363,0.8564102564102564,0.9226519337016574,0.8181268662215616,0.8877409234022987
baseline,entropy,0.7000000000000001,0.7,420,180,0.18095238095238098,0.819047619047619,0.900523560209424,0.7793912862957219,0.8529206181264862
baseline,free_energy,0.7000000000000001,0.7,420,180,0.18095238095238098,0.819047619047619,0.900523560209424,0.7793912862957219,0.8529206181264862
baseline,entropy,0.75,0.75,450,150,0.20666666666666667,0.7933333333333333,0.8847583643122676,0.7535150043771228,0.8281859285566011
baseline,free_energy,0.75,0.75,450,150,0.20666666666666667,0.7933333333333333,0.8847583643122676,0.7535150043771228,0.8281859285566011
baseline,entropy,0.8,0.8,480,120,0.24791666666666667,0.7520833333333333,0.8585017835909632,0.7115545643923058,0.788609271484525
baseline,free_energy,0.8,0.8,480,120,0.24791666666666667,0.7520833333333333,0.8585017835909632,0.7115545643923058,0.788609271484525
baseline,entropy,0.85,0.85,510,90,0.2823529411764706,0.7176470588235294,0.8356164383561644,0.677064838899032,0.754975036804083
baseline,free_energy,0.85,0.85,510,90,0.28431372549019607,0.7156862745098039,0.8342857142857143,0.6750378753799117,0.7531097491907429
baseline,entropy,0.9,0.9,540,60,0.31481481481481477,0.6851851851851852,0.8131868131868132,0.6448211671386471,0.7229330685051282
baseline,free_energy,0.9,0.9,540,60,0.31481481481481477,0.6851851851851852,0.8131868131868132,0.6448211671386471,0.7229330685051282
baseline,entropy,0.9500000000000001,0.95,570,30,0.3421052631578947,0.6578947368421053,0.7936507936507936,0.6180074060895999,0.695668082554806
baseline,free_energy,0.9500000000000001,0.95,570,30,0.3421052631578947,0.6578947368421053,0.7936507936507936,0.6180074060895999,0.695668082554806
baseline,entropy,1.0,1.0,600,0,0.375,0.625,0.7692307692307693,0.5855828242149006,0.6628267505316743
