model,epoch,train_loss,train_acc,train_f1,train_auc,val_loss,val_acc,val_f1,val_auc,seconds
baseline,1,0.6187060006121372,0.741,0.8511209043878137,0.48823511658088226,0.5635295510292053,0.7423664122137404,0.8521358159912377,0.523774159763877,10.576020002365112
baseline,2,0.5838865238301297,0.742,0.851894374282434,0.5179195367874614,0.5614415804545084,0.7423664122137404,0.8521358159912377,0.6067599733409501,4.389882564544678
baseline,3,0.577075998199747,0.742,0.851894374282434,0.526735944243623,0.5631251268916659,0.7423664122137404,0.8521358159912377,0.675768827953918,5.695681095123291
baseline,4,0.5627876862566522,0.742,0.851894374282434,0.58637757672422,0.5317197839419047,0.7423664122137404,0.8521358159912377,0.7274873845567933,6.690056324005127
baseline,5,0.5206005509863508,0.742,0.851894374282434,0.7084636350761844,0.47213706374168396,0.7423664122137404,0.8521358159912377,0.7993335237551175,4.804901123046875
baseline,6,0.4468334050888711,0.7423333333333333,0.8520574162679426,0.8382308215568417,0.44316525922881234,0.7423664122137404,0.8521358159912377,0.9182519280205654,5.0589599609375
classical_control,1,0.6495938618132409,0.5853333333333334,0.7070183702308055,0.5044616013242604,0.5653263098663754,0.7423664122137404,0.8521358159912377,0.5220413215271826,2.8692467212677
classical_control,2,0.5925357912449126,0.7403333333333333,0.8507376892124928,0.48450889302139855,0.559638563129637,0.7423664122137404,0.8521358159912377,0.5857183661810912,1.996422290802002
classical_control,3,0.5826746212675217,0.742,0.851894374282434,0.5063888482602832,0.5625965793927511,0.7423664122137404,0.8521358159912377,0.66876130629344,1.9658024311065674
classical_control,4,0.563144012968591,0.742,0.851894374282434,0.5901984068943261,0.5286597179041969,0.7423664122137404,0.8521358159912377,0.7298486146815195,1.9779798984527588
classical_control,5,0.4938201194113873,0.742,0.851894374282434,0.7654162342622193,0.4723003672228919,0.7423664122137404,0.8521358159912377,0.8268304294011236,1.9837658405303955
classical_control,6,0.4300764260139871,0.7883333333333333,0.8692070030895983,0.8417747967989302,0.4433964590231578,0.8053435114503816,0.8567415730337079,0.9160239931448158,2.170691967010498
hybrid_quantum,1,0.6514590395257828,0.587,0.7089499647639183,0.5036031769248093,0.5669892066054874,0.7423664122137404,0.8521358159912377,0.5222127011330095,47.51805567741394
hybrid_quantum,2,0.5906495401199828,0.7403333333333333,0.8506804677017443,0.5026031328137515,0.5618951949808333,0.7423664122137404,0.8521358159912377,0.5732266971341522,47.007118701934814
hybrid_quantum,3,0.5853395189376588,0.742,0.851894374282434,0.5054837009641748,0.5811832017368741,0.7423664122137404,0.8521358159912377,0.6535656479101208,45.97659230232239
hybrid_quantum,4,0.5784803698671624,0.742,0.851894374282434,0.5406640107166654,0.5550965335634019,0.7423664122137404,0.8521358159912377,0.6725697419784824,46.96691083908081
hybrid_quantum,5,0.5501877462610285,0.742,0.851894374282434,0.6315176989814989,0.51072186893887,0.7423664122137404,0.8521358159912377,0.7330857850138055,48.35024905204773
hybrid_quantum,6,0.4909003288187879,0.742,0.851894374282434,0.7689689156341197,0.4549429284201728,0.7423664122137404,0.8521358159912377,0.8473388555650767,46.04837250709534
